"CoreID","CoreNo","Site","Treatment","Suction","pore_size","SampleID","wsoc_mg_L"
"C24",24,"CPCRW","Drought Incubation","50 kPa","6 - 20 µm","50-C24",92.6
"C25",25,"CPCRW","Drought Incubation","50 kPa","6 - 20 µm","50-C25",382.4
"D6",6,"DWP","Time Zero Saturation","50 kPa","6 - 20 µm","50-D6",76.4
"D7",7,"DWP","Time Zero Saturation","50 kPa","6 - 20 µm","50-D7",110.6
"D8",8,"DWP","Time Zero Saturation","50 kPa","6 - 20 µm","50-D8",39.5
"D9",9,"DWP","Time Zero Saturation","50 kPa","6 - 20 µm","50-D9",
"D10",10,"DWP","Time Zero Saturation","50 kPa","6 - 20 µm","50-D10",142.8
"D11",11,"DWP","Saturation Incubation","50 kPa","6 - 20 µm","50-D11",46.9
"D12",12,"DWP","Saturation Incubation","50 kPa","6 - 20 µm","50-D12",53.9
"D13",13,"DWP","Saturation Incubation","50 kPa","6 - 20 µm","50-D13",78.7
"D14",14,"DWP","Saturation Incubation","50 kPa","6 - 20 µm","50-D14",94.9
"D15",15,"DWP","Saturation Incubation","50 kPa","6 - 20 µm","50-D15",139.1
"D16",16,"DWP","Field Moisture Incubation","50 kPa","6 - 20 µm","50-D16",
"D17",17,"DWP","Field Moisture Incubation","50 kPa","6 - 20 µm","50-D17",43.6
"D18",18,"DWP","Field Moisture Incubation","50 kPa","6 - 20 µm","50-D18",
"D19",19,"DWP","Field Moisture Incubation","50 kPa","6 - 20 µm","50-D19",81.2
"D20",20,"DWP","Field Moisture Incubation","50 kPa","6 - 20 µm","50-D20",32.5
"D21",21,"DWP","Drought Incubation","50 kPa","6 - 20 µm","50-D21",
"D22",22,"DWP","Drought Incubation","50 kPa","6 - 20 µm","50-D22",58.8
"D23",23,"DWP","Drought Incubation","50 kPa","6 - 20 µm","50-D23",46.7
"D24",24,"DWP","Drought Incubation","50 kPa","6 - 20 µm","50-D24",108.3
"D25",25,"DWP","Drought Incubation","50 kPa","6 - 20 µm","50-D25",66.1
"S1",1,"SR","Field Moisture Incubation","50 kPa","6 - 20 µm","50-S1",24.9
"S2",2,"SR","Saturation Incubation","50 kPa","6 - 20 µm","50-S2",
"S3",3,"SR","Saturation Incubation","50 kPa","6 - 20 µm","50-S3",31
"S4",4,"SR","Drought Incubation","50 kPa","6 - 20 µm","50-S4",
"S5",5,"SR","Drought Incubation","50 kPa","6 - 20 µm","50-S5",9.9
"S7",7,"SR","Saturation Incubation","50 kPa","6 - 20 µm","50-S7",21.6
"S9",9,"SR","Time Zero Saturation","50 kPa","6 - 20 µm","50-S9",6.5
"S10",10,"SR","Drought Incubation","50 kPa","6 - 20 µm","50-S10",
"S11",11,"SR","Time Zero Saturation","50 kPa","6 - 20 µm","50-S11",6.9
"S13",13,"SR","Field Moisture Incubation","50 kPa","6 - 20 µm","50-S13",10.9
"S14",14,"SR","Drought Incubation","50 kPa","6 - 20 µm","50-S14",35.9
"S15",15,"SR","Field Moisture Incubation","50 kPa","6 - 20 µm","50-S15",15
"S16",16,"SR","Time Zero Saturation","50 kPa","6 - 20 µm","50-S16",
"S17",17,"SR","Time Zero Saturation","50 kPa","6 - 20 µm","50-S17",7.9
"S18",18,"SR","Saturation Incubation","50 kPa","6 - 20 µm","50-S18",23.7
"S19",19,"SR","Field Moisture Incubation","50 kPa","6 - 20 µm","50-S19",25.9
"S21",21,"SR","Field Moisture Incubation","50 kPa","6 - 20 µm","50-S21",22.4
"S23",23,"SR","Time Zero Saturation","50 kPa","6 - 20 µm","50-S23",7.8
"S24",24,"SR","Saturation Incubation","50 kPa","6 - 20 µm","50-S24",20
"S25",25,"SR","Drought Incubation","50 kPa","6 - 20 µm","50-S25",12.1
